-5.12794	0.97195	
-4.75866	1.17158	
-4.38938	1.42028	
-4.02010	1.67096	
-3.65082	1.86471	
-3.28154	1.96989	
-2.91225	1.99538	
-2.54297	1.97236	
-2.17369	1.93551	
-1.80441	1.89851	
-1.43513	1.83096	
-1.06585	1.68681	
-0.69657	1.46314	
-0.32728	1.20859	
0.04200	0.97864	
0.41128	0.79993	
0.78056	0.67081	
1.14984	0.57858	
1.51912	0.51168	
1.88840	0.46279	
2.25768	0.42744	
2.62697	0.40233	
2.99625	0.38463	
3.36553	0.37190	
3.73481	0.36225	
4.10409	0.35436	
4.47337	0.34743	
4.84265	0.34103	
5.21194	0.33500	
5.58122	0.32932	
5.95050	0.32401	
